numero_de_publication;date_de_publication;type_de_publication;type_de_demande;numero_de_depot;date_de_depot;priorite_s;cib;cpc;titre
FR3086796;2020-04-03;A1;Demande française;FR1858935;2018-09-28;FR1858935 (20180928);H01L  21/331,H01L  21/225,H01L  21/285,H01L  21/324;H01L  21/28518;PROCEDE DE SILICIURATION
FR3084713;2020-02-07;A3;Certificat d'utilité;FR1870889;2018-08-01;FR1870889 (20180801);F16H  29/20,B62M  23/02;B62M  23/00,F16H  21/20;TRANSMISSION POUR MOTEUR A CYLINDRES
FR3084971;2020-02-14;A1;Demande française;FR1857479;2018-08-13;FR1857479 (20180813);H01R   4/20;H01R   4/203,H01R   4/62,H01R  43/048;CONTACT ELECTRIQUE A FUT FERME
FR3086839;2020-04-10;A1;Demande française;FR1871128;2018-10-04;FR1871128 (20181004);A01K  47/06;A01K  47/06,A01K  51/00;DISPOSITIF DE PROTECTION DE RUCHE FACE A LA MENACE DU FRELON ASIATIQUE
FR3084974;2020-02-14;A1;Demande française;FR1857366;2018-08-07;FR1857366 (20180807);H02J  50/10,H01F  38/14;H01F  38/14,H02J  50/10,H02J  50/90;SYSTEME DE LIAISON ELECTRIQUE SANS CONTACT
FR3089319;2020-06-05;A1;Demande française;FR1872281;2018-12-04;FR1872281 (20181204);G06F  17/40,G08B  21/04;A61B   5/0022,A61B   5/1116,A61B   5/1118,A61B   5/7264,A61B   5/746,G06F  16/906;Procédé d’évaluation de l’activité corporelle d’un utilisateur
FR3086060;2020-03-20;A1;Demande française;FR1858304;2018-09-14;FR1858304 (20180914);G01N   3/08;G01N   3/04,G01N   3/24,G01N  19/04,G01N2203/0296,G01N2203/0405;DISPOSITIF DE CARACTERISATION EN CISAILLEMENT D'UNE INTERFACE
FR3093619;2020-09-18;A1;Demande française;FR1902718;2019-03-13;FR1902718 (20190313);A01M   1/00;A01M   1/10,A01M   3/00;Cage de contention pour les insectes
FR3092985;2020-08-28;A1;Demande française;FR1901832;2019-02-22;FR1901832 (20190222);A61B  90/90,A61B   5/1171,G06K  19/07;A61B  90/98,A61C2204/005,B29C  51/10,B29C  51/12,B29L2031/7536,G06K  19/07728,G06K  19/07758;Procédé de marquage de prothèses au moyen d’une puce électronique RFID inerte et le dispositif de marquage isolé.
FR3092986;2020-08-28;A1;Demande française;FR1901837;2019-02-22;FR1901837 (20190222);A61C   9/00,G06T  17/00;A61C   7/002;PROCÉDÉ DE VISUALISATION DE L’IMPACT D’UN PLAN DE TRAITEMENT DENTAIRE
FR3085852;2020-03-20;A1;Demande française;FR1871041;2018-09-14;FR1871041 (20180914);A61M  16/00,A61M  16/20;A61M  16/0009,A61M  16/0063,A61M  16/0066,A61M  16/024,A61M  16/201,A61M  16/202,A61M  16/206,A61M2205/078,A61M2205/128,A61M2205/505,A61M2205/8206,A61M2230/205;APPAREIL D’ASSISTANCE A LA TOUX A VALVES PNEUMATIQUES COMMANDEES
FR3086174;2020-03-27;A1;Demande française;FR1858502;2018-09-20;FR1858502 (20180920);A61M  39/24,A61M  39/26,F16L  29/02,F16L  37/40,F16L  37/60;A61G  12/005,A61M  16/0816,A61M  39/26,A61M2039/1027,A61M2202/02,F16L  37/60,Y10T 137/698;PRISE DE DISTRIBUTION DE FLUIDE PROTEGE PAR UN BOITIER DE FORME ARRONDIE
FR3086203;2020-03-27;A1;Demande française;FR1910580;2019-09-25;AU2018903608 (20180925);B42D  25/382,C09D  11/00;B41M   3/144,B42D  25/20,B42D  25/29,B42D  25/378,B42D  25/382,C09D  11/037,C09D  11/101,C09D  11/102,C09D  11/50,C09D 175/04,B42D  25/29,B42D  25/351,B42D  25/382,B42D  25/387,C09D  11/037,C09D  11/50;encre pour imprimer un document de sécurité et un élément de sécurité sur un substrat pour un document de sécurité
FR3087824;2020-05-01;A1;Demande française;FR1859939;2018-10-26;FR1859939 (20181026);F01D  15/10,F02K   3/06,H02K   7/18,H02K  21/14;F01D   5/225,F01D  15/10,F01D  19/00,F02K   3/06,F05D2220/36,F05D2220/76,F05D2220/768,Y02T  50/60;MODULE ELECTRIQUE DE SOUFFLANTE D'AERONEF COMPORTANT DES AUBES A FIXATION AMELIOREE
FR3095366;2020-10-30;A1;Demande française;FR1904421;2019-04-26;FR1904421 (20190426);B29C  69/00,B29C  48/16,B29C  51/14,B29C  70/34;B29C  31/047,B29C  33/305,B29C  33/34,B29C  43/021,B29C  43/04,B29C  43/203,B29C  43/34,B29C  43/56,B29C  48/0011,B29C  48/05,B29C  48/146,B29C  48/21,B29C  70/46,B29C2043/3433,B29C2791/001,B29K2023/06,B29K2023/0625,B29K2067/003,B29K2105/12,B29K2303/04,B29K2311/10;Procédé et dispositif de fabrication d’une pièce composée d’un matériau stratifié
FR3085059;2020-02-21;A1;Demande française;FR1800870;2018-08-14;FR1800870 (20180814);F03G   7/10;F03G   7/10;MOTEUR D'AUTOMOBILE ECOLOGIQUE NE CONSOMMANT PAS DE CARBURANT CARBONE
FR3088203;2020-05-15;A1;Demande française;FR1860363;2018-11-09;FR1860363 (20181109);A61L   2/08;A61L   2/087,A61L2202/11,A61L2202/23,B67C   7/0073,B67C2003/227,G21K   5/10;PROCEDE ET DISPOSITIF DE STERILISATION PAR IRRADIATION D'UN RECIPIENT EN MATIERE THERMOPLASTIQUE
FR3085247;2020-02-28;A1;Demande française;FR1800907;2018-08-27;FR1800907 (20180827);H04R   5/02,H04S   3/00;H04R   1/021,H04R   1/347,H04R   3/14,H04R   5/02,H04R2201/021,H04R2205/024,H04R   1/025,H04R   1/026,H04R   1/345,H04R   1/403,H04R   3/04,H04R   3/12,H04R2201/021;DISPOSITIF DE SONORISATION D'UN ECRAN VIDEO PAR REFLEXION
FR3088427;2020-05-15;A3;Certificat d'utilité;FR1860480;2018-11-14;FR1860480 (20181114);G01M  17/02,B60C  23/00;B60C  11/246,B60C  23/0486,B60C  23/0488,B60C2019/004,B60T   8/172,B60T   8/17616,B60T2210/36,B60W  40/064,B60W  40/068,B60W2520/10;PROCEDE DE DETERMINATION DU GLISSEMENT D'UN PNEUMATIQUE
